,block,type,cluster_label,fold,pattern_value
8,Default_Default,intra,1,2,0.0405522623522437
9,Default_DorsAttn,inter,1,2,-0.0044775750548271
10,Default_Limbic,inter,1,2,0.0063937679738216
11,Default_SalVentAttn,inter,1,2,0.0028854823071018
12,Default_SomMot,inter,1,2,-0.001126681468431
13,Default_Vis,inter,1,2,-0.0086997027051941
14,DorsAttn_Cont,inter,1,2,0.01637689318229
15,DorsAttn_Default,inter,1,2,-0.0044775749282136
16,DorsAttn_DorsAttn,intra,1,2,0.0655872227412129
17,DorsAttn_Limbic,inter,1,2,-0.0192922095375213
18,DorsAttn_SalVentAttn,inter,1,2,0.0200410097883624
19,DorsAttn_SomMot,inter,1,2,0.0300111340138327
20,DorsAttn_Vis,inter,1,2,0.007007497475775
21,Limbic_Cont,inter,1,2,-0.0074575894251617
22,Limbic_Default,inter,1,2,0.0063937679656366
23,Limbic_DorsAttn,inter,1,2,-0.0192922095867821
24,Limbic_Limbic,intra,1,2,0.0938907284589105
25,Limbic_SalVentAttn,inter,1,2,-0.0136515571906506
26,Limbic_SomMot,inter,1,2,-0.0190498007786784
27,Limbic_Vis,inter,1,2,-0.0053554325345098
28,SalVentAttn_Cont,inter,1,2,0.0173482293581798
29,SalVentAttn_Default,inter,1,2,0.002885482726179
30,SalVentAttn_DorsAttn,inter,1,2,0.0200410096612106
31,SalVentAttn_Limbic,inter,1,2,-0.0136515571851145
32,SalVentAttn_SalVentAttn,intra,1,2,0.0614614268018003
33,SalVentAttn_SomMot,inter,1,2,0.0319946096683862
34,SalVentAttn_Vis,inter,1,2,-0.0078984570748765
35,SomMot_Cont,inter,1,2,0.0038914778252816
36,SomMot_Default,inter,1,2,-0.0011266815399119
37,SomMot_DorsAttn,inter,1,2,0.0300111331571472
38,SomMot_Limbic,inter,1,2,-0.0190498001461999
39,SomMot_SalVentAttn,inter,1,2,0.0319946092327783
40,SomMot_SomMot,intra,1,2,0.068332607887169
41,SomMot_Vis,inter,1,2,9.0744739744068e-05
42,Vis_Cont,inter,1,2,-0.015039128301099
43,Vis_Default,inter,1,2,-0.0086997027449987
44,Vis_DorsAttn,inter,1,2,0.0070074973796633
45,Vis_Limbic,inter,1,2,-0.0053554328967233
46,Vis_SalVentAttn,inter,1,2,-0.0078984571082997
47,Vis_SomMot,inter,1,2,9.07440447348138e-05
48,Vis_Vis,intra,1,2,0.0835797840484129
0,Cont_Cont,intra,2,2,0.0493001613590611
1,Cont_Default,inter,2,2,0.0156124056026729
2,Cont_DorsAttn,inter,2,2,0.0159969854886442
3,Cont_Limbic,inter,2,2,-0.0074270208428665
4,Cont_SalVentAttn,inter,2,2,0.0171155225771462
5,Cont_SomMot,inter,2,2,0.0035368359527853
6,Cont_Vis,inter,2,2,-0.015602626824532
7,Default_Cont,inter,2,2,0.0156124056115831
8,Default_Default,intra,2,2,0.0404315502108575
9,Default_DorsAttn,inter,2,2,-0.0045305374255603
10,Default_Limbic,inter,2,2,0.0063268704365706
11,Default_SalVentAttn,inter,2,2,0.0028661949316219
12,Default_SomMot,inter,2,2,-0.0011533248308471
13,Default_Vis,inter,2,2,-0.0089929760010614
14,DorsAttn_Cont,inter,2,2,0.0159969844575801
15,DorsAttn_Default,inter,2,2,-0.0045305372832701
16,DorsAttn_DorsAttn,intra,2,2,0.0652635146407485
17,DorsAttn_Limbic,inter,2,2,-0.0191928335499148
18,DorsAttn_SalVentAttn,inter,2,2,0.0197154907635233
19,DorsAttn_SomMot,inter,2,2,0.0297770078900125
20,DorsAttn_Vis,inter,2,2,0.0067782750269284
21,Limbic_Cont,inter,2,2,-0.0074270206788283
22,Limbic_Default,inter,2,2,0.0063268704252093
23,Limbic_DorsAttn,inter,2,2,-0.0191928335956483
24,Limbic_Limbic,intra,2,2,0.0936109111197011
25,Limbic_SalVentAttn,inter,2,2,-0.0135755620584596
26,Limbic_SomMot,inter,2,2,-0.0193429706911865
27,Limbic_Vis,inter,2,2,-0.005232583229928
28,SalVentAttn_Cont,inter,2,2,0.0171155224531952
29,SalVentAttn_Default,inter,2,2,0.0028661953520047
30,SalVentAttn_DorsAttn,inter,2,2,0.0197154906264412
31,SalVentAttn_Limbic,inter,2,2,-0.0135755620747776
32,SalVentAttn_SalVentAttn,intra,2,2,0.0612506709411194
33,SalVentAttn_SomMot,inter,2,2,0.0318580338819438
34,SalVentAttn_Vis,inter,2,2,-0.0081504584899893
35,SomMot_Cont,inter,2,2,0.0035368349676409
36,SomMot_Default,inter,2,2,-0.0011533248960248
37,SomMot_DorsAttn,inter,2,2,0.029777007017511
38,SomMot_Limbic,inter,2,2,-0.0193429700624185
39,SomMot_SalVentAttn,inter,2,2,0.0318580334411108
40,SomMot_SomMot,intra,2,2,0.0686377811425982
41,SomMot_Vis,inter,2,2,2.6997382267533616e-05
42,Vis_Cont,inter,2,2,-0.0156026273005211
43,Vis_Default,inter,2,2,-0.0089929760396819
44,Vis_DorsAttn,inter,2,2,0.0067782749330917
45,Vis_Limbic,inter,2,2,-0.0052325835840376
46,Vis_SalVentAttn,inter,2,2,-0.0081504585199824
47,Vis_SomMot,inter,2,2,2.6996682126372172e-05
48,Vis_Vis,intra,2,2,0.0837809604925494
0,Cont_Cont,intra,0,3,0.0503387191255197
1,Cont_Default,inter,0,3,0.0157586345863713
2,Cont_DorsAttn,inter,0,3,0.0160454461241065
3,Cont_Limbic,inter,0,3,-0.0072767035799788
4,Cont_SalVentAttn,inter,0,3,0.0174452320343804
5,Cont_SomMot,inter,0,3,0.0029074914560541
6,Cont_Vis,inter,0,3,-0.0164471821690768
7,Default_Cont,inter,0,3,0.0157586345972114
8,Default_Default,intra,0,3,0.041556263748652
9,Default_DorsAttn,inter,0,3,-0.0048342445541315
10,Default_Limbic,inter,0,3,0.006717037591942
11,Default_SalVentAttn,inter,0,3,0.0029271566178145
12,Default_SomMot,inter,0,3,-0.0014376282818861
13,Default_Vis,inter,0,3,-0.0094927536997212
