,node_a,node_b,pattern_value,cluster_label,fold
13,Default,Vis,-0.0002599516911005652,2,2
14,DorsAttn,Cont,0.0016031342621536972,2,2
15,DorsAttn,Default,-1.830709648826971e-05,2,2
16,DorsAttn,DorsAttn,0.020485540974945447,2,2
17,DorsAttn,Limbic,-0.000723689744180293,2,2
18,DorsAttn,SalVentAttn,0.0018340159551743576,2,2
19,DorsAttn,SomMot,0.001391577261479101,2,2
20,DorsAttn,Vis,0.000977102115295106,2,2
21,Limbic,Cont,-0.00017589700592160102,2,2
22,Limbic,Default,0.00041698932689582176,2,2
23,Limbic,DorsAttn,-0.0007236896547877272,2,2
24,Limbic,Limbic,0.036304718664983214,2,2
25,Limbic,SalVentAttn,-0.0007511775238878879,2,2
26,Limbic,SomMot,-0.0010403598268450408,2,2
27,Limbic,Vis,-0.000569826886047386,2,2
28,SalVentAttn,Cont,0.0015107893087896492,2,2
29,SalVentAttn,Default,0.000451432951044596,2,2
30,SalVentAttn,DorsAttn,0.0018340158728152494,2,2
31,SalVentAttn,Limbic,-0.0007511775414617796,2,2
32,SalVentAttn,SalVentAttn,0.024457922487476476,2,2
33,SalVentAttn,SomMot,0.0025403707033473982,2,2
34,SalVentAttn,Vis,-0.0004831232574553087,2,2
35,SomMot,Cont,5.140706544642942e-05,2,2
36,SomMot,Default,-0.0002226511348509013,2,2
37,SomMot,DorsAttn,0.0013915771768738742,2,2
38,SomMot,Limbic,-0.001040359757001941,2,2
39,SomMot,SalVentAttn,0.0025403705973370484,2,2
40,SomMot,SomMot,0.018231548200071595,2,2
41,SomMot,Vis,0.00038103927970662213,2,2
42,Vis,Cont,-0.0010269301942269881,2,2
43,Vis,Default,-0.00025995166399846447,2,2
44,Vis,DorsAttn,0.0009771021555504984,2,2
45,Vis,Limbic,-0.000569826922523466,2,2
46,Vis,SalVentAttn,-0.0004831232616913321,2,2
47,Vis,SomMot,0.00038103923028297185,2,2
48,Vis,Vis,0.021514420850854612,2,2
0,Cont,Cont,0.022813651356949502,0,3
1,Cont,Default,0.0017141434760535065,0,3
2,Cont,DorsAttn,0.0027284624044172155,0,3
3,Cont,Limbic,-0.00013272888671683197,0,3
4,Cont,SalVentAttn,0.0024654160826659026,0,3
5,Cont,SomMot,0.00041932341141685033,0,3
6,Cont,Vis,-0.001405942298517283,0,3
7,Default,Cont,0.0017141435139893131,0,3
8,Default,Default,0.01646737285572528,0,3
9,Default,DorsAttn,-0.00047827506979222334,0,3
10,Default,Limbic,0.0015762085281289236,0,3
11,Default,SalVentAttn,0.000491009668468042,0,3
12,Default,SomMot,-0.00017347950566696846,0,3
13,Default,Vis,-0.00021204557810076564,0,3
14,DorsAttn,Cont,0.0027284622510983345,0,3
15,DorsAttn,Default,-0.00047827508787015815,0,3
16,DorsAttn,DorsAttn,0.023221804790151394,0,3
17,DorsAttn,Limbic,-0.0007709097259403193,0,3
18,DorsAttn,SalVentAttn,0.0021779719027755604,0,3
19,DorsAttn,SomMot,0.002666929182396755,0,3
20,DorsAttn,Vis,0.0009961925646150042,0,3
21,Limbic,Cont,-0.00013272876049353358,0,3
22,Limbic,Default,0.0015762085860432427,0,3
23,Limbic,DorsAttn,-0.0007709098147144632,0,3
24,Limbic,Limbic,0.03988254987116071,0,3
25,Limbic,SalVentAttn,-0.0010080122116057292,0,3
26,Limbic,SomMot,-0.0034039962597751587,0,3
27,Limbic,Vis,-0.001002355823473803,0,3
28,SalVentAttn,Cont,0.0024654161142483033,0,3
29,SalVentAttn,Default,0.0004910097271654747,0,3
30,SalVentAttn,DorsAttn,0.002177971815352389,0,3
31,SalVentAttn,Limbic,-0.0010080123120110775,0,3
32,SalVentAttn,SalVentAttn,0.02864020178521742,0,3
33,SalVentAttn,SomMot,0.004673892097709743,0,3
34,SalVentAttn,Vis,-0.0006790607992641501,0,3
35,SomMot,Cont,0.0004193233513329544,0,3
36,SomMot,Default,-0.00017347952680109017,0,3
37,SomMot,DorsAttn,0.00266692911409694,0,3
38,SomMot,Limbic,-0.0034039960454419287,0,3
39,SomMot,SalVentAttn,0.004673892038487938,0,3
40,SomMot,SomMot,0.025984952864479056,0,3
41,SomMot,Vis,0.0009622897332743389,0,3
42,Vis,Cont,-0.0014059423968683618,0,3
